domain,label
ihiytfyygllposbnqzr,1
7vvx7hdx7d9917enwnvhk01lh,1
dcc3bf8e17c07f84669c2e16177e5065cd.ws,1
fidelityifs.com,0
timuriego,0
betaaldlezen,0
myhmm,0
riis.nu,1
riminiwellness.com,0
76oxk4qtu2ujgb3f3ju,1
kinhdoanhnoidungso,0
myshoppingsherlock.com,0
cekmsiqeqyeacaykweecwommcomsq,1
iktmrstcj,1
annuaire-voiture,0
314686,0
park-line,0
cbhjxqgpcyoxoasaybhj.com,1
vnkudhockey,1
406303,0
aaiesiasuq,1
map-power,0
158s6jk5wz7zxfct03j1f93u9n,1
simpletapas,0
unlim-casino-t0u.ru,0
wscugmiksiawqkskkkkcmemskgacos,1
fobsr.ws,1
5bq8w0kj3tslyho,1
xzepupptpyjlqlchccloni,1
hebesffvnowg,1
borngeni.us,0
goldfinger.com.br,0
ctjhzzmhlrcfqdlhawoztgnp,1
gmaykeuuyawsquswwaymccoymeisgwg,1
0848162.live,0
smola-eliqua.ru,0
16ir14a45bepotu4qpovwl5,1
n6b21307ca4d6463f0b316ff9b2e6e0095.ws,1
saint-affirm.com,0
snccmqiwo,1
12t822910pddfy1vjpwrh1m6plvp,1
aquariuswelldrilling,0
dunhillconsulting,0
atlanticretail.com,0
jordantaylor,0
media-corps.site,0
ldpdqycwfvnkmsm,1
sjynatol52u4g07fclk,1
omniservices.com,0
mamyvycukajidifa,1
kokorogarden,0
ryderavagugiqaxiwifaf,1
1o91fcz33ih1a24ynfy1nuecl7,1
wwf1bt1bww3i21460whk8gfm1l.biz,1
fleurishevents,0
143010,0
lrdvkm.cn,0
uruopoazkae,1
178893,0
skiomawsamsw,1
dayhosting.fr,0
hentaix.ai,0
bbamrancisco,1
deities,0
otj.fr,1
oxzorpudujjj,1
transtrad.online,0
ecggestnessbiophysicalohax,1
garagesolutionsomaha,0
unileao.edu.br,0
drzwi.pl,0
lutcuyjvvcy,1
aiha-wrc,0
1u51nm51deet6o17nwiwr7vzitn,1
caraifm,0
vonaretyfypuwaxocin,1
londonbeautyqueen,0
iusoayuyqeawoykw.org,1
orkebxxgovll,1
dyjpvanaytc,1
unitedfurnitureco,0
ktg47rsv1xqlkdwhwtq,1
guikimi.samenblog.com,0
ship365.io,0
nzksywtpip.biz,1
allergosan.com,0
hhvqtgmsqhfvko,1
qsjcamentalistfanchonut.com,1
16387,0
ceffhkcehfhn.bazaar,1
thecookingspoon,0
xuqyvaxiq,1
londonlocksmiths,0
colinbass,0
quduwoccj,1
aobmop,1
bruuntraeservice.dk,0
rinkedesign,0
mmlggckmus,1
osckuubghidy,1
allisonizu,0
zutmxz,1
aacoicsogyuymeeq.org,1
glxvumyjaeesgkxl,1
shoonya.foundation,0
rfjcerrari,1
bxswindckquqf,1
cbadrsaheondek,1
mingmoonwethersfield.com,0
rrznmwdhsxgpbqwtwblemknj,1
uflnkhvy,1
cfhiilcfjiio.bazaar,1
tekoia,0
ccgehlccieho.bazaar,1
onngbmteq,1
lancasterleadership,0
uvwxyzq.cn,0
digitaledu.az,0
uglytruthofv.com,0
5re21fu6q6u212m,1
pdwrrsensinaix,1
therogersco.com,0
yqlcdhddxowdikalghwv.com,1
fenecon.de,0
ajs-be-buvrinnes,0
kikp-pertanian.id,0
geiwupla.ru,1
1xslots-hlj.top,0
pdyhq.cn,1
gmvrardenslavetusul,1
oyjugduu,1
ywceqisaiogmwsuo,1
widelands.org,0
utirhiropb.org,1
kiafinanace.co.uk,0
tyufskatmmbypfq,1
perskindolinfo.co.il,0
qnomsnhrtdtxnzqn.net,1
esea.net,0
gmqemqocowky,1
lifesitenews.com,0
xrwudpzbvozm,1
servergus.es,0
54wvkx3bidw6yb1l7tg,1
muvytjwjmz,1
pastapass,0
6bk9nx1qml2l2dedkisz72w1p,1
mjmagazine,0
n85b238b7f438d62cba19fd9137caf6e63.ws,1
iislhugvicrhkgfnnyq.com,1
_echgmzeehgp.bazaar,1
gwhwvnyfldfhpmyisdoa.com,1
zxcuajjhjm,1
sisidrive16.info,0
evonet.ro,0
d9ad65538c0e4819747f221b8ff1fbd503.ws,1
tocollegeandbeyond,0
408071,0
travelerliv.com,0
dvvfoblxhzktgrbrcyie,1
xippenbhyny,1
fjjcaueqhyqlxgr,1
wblehsjhstwkriuhgifnbgh,1
xukaxadamepo,1
vennstrategies,0
svp.ch,0
gullcove,0
qexyqipocyp,1
e4n2,0
m132e5a8ffaf2b17fa261f2b883f671632,1
ganycubiker,1
ujanc2c2ilovy6w4aj5,1
qf5230cjy2qn1bclixubafc,1
cqhwbgtaj,1
halusinternational,0
crossrivermeditation,0
myceolife,0
gawqoy,1
revvibehomes.com,0
tomfoolishness,0
ino19.com,0
xuvang777.org,0
bf5f6e7ea0e520c143c9c05e67ddf128ff.ws,1
kaddad.com,0
dividedbyzeropodcast,0
m0g8g4yj385r50wh1pi,1
futurecb,0
psychotherapieausbildung,0
qmlrttpichahdwtfydgi.com,1
aaoagmkwyosockuooyu,1
fzcwxhqoi,1
vqngvtgsjm,1
ox32ark8yjmlkds,1
sizqamentalistfanchonut,1
cod.ru,0
e-mitumori,0
relax-haus.com,0
sifnostravel,0
newsdesigns.com,0
aawoiwcecqiygywwwissss,1
e0uh5datmlihab10c2q,1
skkqocokwemeaym,1
pokerdom-71.buzz,0
sportsbd,0
qvhszeiccdvqle,1
puryjeq.com,1
revomaze.co.uk,0
mxn.vg,1
thefancyhub,0
remodernliving.com,0
blobule.com,0
mxbanyan.com,0
xlrulfuydddxxv.info,1
cchcfplcqgl,1
estatemaster,0
gohosting.click,0
qebatoqetapebyquk,1
cshdkandfield,1
vylbqxhwipdmhypjxmomtcdqi,1
9363,0
thinkpositivecoaching,0
whitefieldism,0
gmkoqcqayqyoikemkke,1
swiftbooks.io,0
rrwusemitismgavenuteq,1
uoomkkegciuscicykusqy,1
naturpark-siebengebirge,0
advantagecontrols.com,0
officedepot.sk,0
qd7hofwl3ts2a81dmvunq2w,1
ntbzball,1
buffalohockeycentral,0
sirenxxxstudios.com,0
gjfwfskckhmj,1
usqenwgmjdjlnxf,1
mycounterstrike,0
ndbdvze.com,0
mvldojkddrdxnxxkggiy.com,1
clip60.com,0
5e514lzbiab32haikf.cn,1
ingoodhands,0
logostmk,0
aria1,0
esportfort,0
nine-letterpress.com,0
qekuwuvuqyfiguw,1
zedalis,0
nappyornot,0
diamondbardentalstudio.com,0
adventureswithfour,0
parkridgevacuum,0
kuegacokwscoosqwgy,1
kzuejqqqwenephh,1
sonecyber.co.in,0
spdueazefeovgfsjuwx,1
skirtlike,0
tywybaqymurerozi,1
naxiqdpwkqhdgpfcprhi.com,1
cihyhacycetige,1
oyamadasayuri,0
txtstation,0
roadchargeoregon,0
aagsuyowwaggosmmuseysaucgqqqeki,1
gvlnsryrmjoq.com,1
vmdtas,1
dwyqtsyuxgg,1
hvuwnqxcj,1
farrarsbuilding,0
cenkbey104.com,0
oyphoktwzajjiztrwhxtosfm,1
kevincarillo,0
randersfc,0
2020-07-03,1
geniusmarketingltd,0
jklyeamrvzndaiavmncpavdm,1
jezygoxel,1
kuiaaqsqqaowok,1
riobetcasino-00.buzz,0
weunited.tech,0
anindyaspaul,0
vxbxsagabardinedazyx.com,1
workingwithact,0
arcadiafloral,0
rydenelajedynejosaxego,1
zrdqcar,1
eimomiqmmu,1
teco7,0
hongfanvalve.com,0
apprbs.com.br,0
yokned8765,1
1xipl6ity611wdsnkus15dyryb.com,1
smotri-hd-serial.ru,0
1cnkdvg17qu30akddxoyy06mri,1
eetphehe,1
kugimmawyssse,1
ywmuukiusqaasygugqaskgqcssioy,1
msd-dev,0
helpmoji.com,0
tjypnta,1
123tire.co.kr,0
lbbinhvvaab.net,1
usftarrjwmifo,1
vxhqepbssa,1
ockcmcqgyuucioyw.org,1
forumcomunicazione,0
lhpcsikathrinezad,1
infoteam.de,0
langaircraft,0
sky360.co.il,0
tximkcheverolet,1
spacestation13.com,0
adkmob.com,0
designboom.cn,0
ekinklik,0
hfnbardenslavetusul.com,1
mjholding.com,0
deborahlipp,0
nubiles.com,0
jorthotrauma,0
jueqhcjauj.cm,1
javhd69.com,0
jivjutwwyyvpsbl,1
xn----8sbaodsu5azp5aq1c.xn--p1ai,0
lksrutqclewt,1
incubadoracordoba,0
1cm56tcu3757ba0ku7k1klpqe7,1
noticeiswakehusbandreserve.com,1
unhappy-client,0
crocogirls,0
kekzhost,0
newartschool.ru,0
chipmong12w.buzz,0
feminspire.com,0
0931dsxx.com,0
nrzvxliioohgnjimg,1
thelittleslush.com,0
ifktv,0
1gf8amb1r0fpg3h9nmcw1icv2c2,1
glgoo.top,0
qdslkhs0yvct7n3hmx781ly,1
gnmpountuvgv.com,1
ra-law.ru,0
v34f64fchc.com,0
iqgqguuygcamceueysi,1
100293,0
suwtictolqd.info,1
wsikvadeqxnarxoiwrbkszk,1
gpsportcouncil,0
vpsforex,0
exghub.com,0
drjhndy,1
eteflonline,0
mindhacks,0
ffwtkqibhuen,1
etictuyw.bazar,1
efevcofg.ws,1
tajikskoe.cc,0
xecov.com,0
dynamicgift.ca,0
38h2x.cn,0
freemius,0
imperialhero.org,0
midtownmortgageinc,0
smarthop.co,0
yesnyoulearning.es,0
pbyplane,1
mueller.si,0
l49wnd1uxrawnkdmpxx12ji0sj.net,1
19yot4r1x8dsr1xr7lgwk07oae.net,1
lyricsmaster.site,0
componentesdebisuteria.es,0
paradisebabyco,0
jadeandclover.com,0
krwtqlyvq2s4yh5rcfs,1
fvnswkfdtmuwkozgwktjlsgwx,1
indekor,0
domxoloda.ru,0
fdbyopcomp,1
movistar4glte,0
weitznerlimited.com,0
hannahalexander,0
arbitroom.club,0
mucosae,0
wwkymgeqoaycqmec.org,1
southpleaserewardblueaccount.com,1
iptv-stalker,0
pktulljqohvp,1
rfnvnorp,1
semater.net,0
kuaqgqwy,1
he629c9c6275355b436c574c1fab4d0948.ws,1
lpdashburn.com,0
transmax.com.au,0
miltonism,0
siteisvisible,0
wsokqsmcwyskseoswqyoscgaomsg,1
jwsukdysbxdgsefcf,1
onennrtgghkjrp,1
trtetcwulltebdxxgtdgelm,1
tanroagan,0
iuqqumagskagugqu.org,1
hrfpererwyatanb,1
onemser.com,0
bbgdwgtuuehw,1
jesacherhof,0
privatesportshop.es,0
7papcxgh1ha6apqtm2k,1
wh5hmtavyn52yt7,1
iszymonkeys,1
kisochishiki,0
oodcpyfqbex.com,1
jbojepns.ws,1
rnutqtlngwtrqa,1
janestone,0
visitleaguecity,0
skycsmwmouyeu,1
shop-afccleveland,0
inxeypckco,1
lestutosdelinternet,0
xzkqrsensinaix.com,1
cheaphomesusa,0
juliusmalema,0
portoftallinn.com,0
bookmarktips.asia,0
iyqymrfawqoxvvv,1
panuvasyqueso,0
socccd.cc.ca.us,0
juicefarmcoldpressed,0
normallydemandedalter.com,0
vsvlvmsohmaitczjoffqrlfmn.ru,1
epicollect,0
blankcanvas.com,0
odheeagpseiypiajq,1
haastrup-by.dk,0
pufupegegybapyr,1
freeanal,0
rinnovopatente,0
kumahei,0
goldnetbasketball,0
liveball.sx,0
boardrussia.ru,0
xwqedwstcrsqr,1
fedexracing,0
tuicided.bazar,1
eiiimwkgiqsieqiawewwqyiwokqioos,1
skypemeet.net,0
noclegi.pl,0
7r5juxehwf7la4ibo4ub5lg,1
ginerjpyjcthvfpr.com,1
yrejgtfebwu,1
bendigofletcher,0
wynbkcheverolet,1
jasonsanders.co.uk,0
ftltoday,0
vwnlrwyw,1
wizsurveyonline.com,0
costway.co.uk,0
languageselnahual,0
nyuffnxsjkcw,1
collectiblesrome,0
myuggcymsakemeiaskmoeckcsese,1
petrahaden,0
eupdkjkruepx,1
wineanorak.com,0
dtmkgwcvkrvaa,1
drdbhnlo,1
lzznrsensinaix.com,1
sexebuy.com,0
rd4pjaysrz7e10939do19rjvxt,1
cfs-demo.com,0
rascalclothing.com,0
oceumiuwmaeismoqcwuckkk,1
ockukwsusokokuoi.org,1
rslcomitalia.it,0
bigbackground.com,0
pniwuyjsmwjhbcwm.com,1
trytreats.com,0
iquuiwkewwuqmwssswemguwoycaa,1
297813.org,0
qmjamachuslazaroqok,1
33456.com,0
predevotion,0
aylqishwvxz.info,1
zaynafurniture.com,0
hospitalimpact,0
ehazibek.bazar,1
prosildenafil.com,0
sevgifakiri,0
iqkamgoagkkqakew.org,1
rynj,0
cupwageclaim,1
ksvfamily,0
xndsellefrictionlessv,1
goodeatslocal,0
qetynuq.com,1
wwdoehgpjjmeqwi,1
reperes-photographies,0
weekendtheband,0
tenxhost.com,0
tuzmfir,1
kykwwmgyweigkkic.org,1
austinanimalcenter,0
iitsec.org,0
iigi,0
spain-info.com,0
qtopi47t385j5h5p1xyxoxg,1
daysurgerycenter.net,0
adacic1033,0
cicdatmu.ru,1
sicher-online-einkaufen-registrierung.de,0
54u4wv18s81bq47b3lg,1
uagxnlybnunf,1
comodesatascarunfregadero.com,0
roryfreedman,0
wgtmobile.com,0
espertsa,0
luzsche-stadt-apotheke.de,0
english-sderot,0
efikhqcdqrnb,1
studycaller.com,0
g2o01454mvwt1ts,1
5gjf4lxhbc3mc.net,1
uhcxkd12svyjuhuxq85,1
gadavywekycyhegehax,1
dd001.net,0
dtodexher,1
luma.com.co,0
operation4m3r2c.com,0
mdup5piba8kjyvklermvutw,1
ernmcjiepjmaschg,1
jepedixuditujyvagozeve,1
ezrptduptnpmjlu.net,1
ehqpumrxic317k49ip18smujn,1
185pyr3ro23dobe8c6g,1
kuqwawemygwiaqsmwg,1
lflkldhtrqsqg,1
filmoteca.ro,0
picturefrequentstablepop.com,1
add-e.at,0
storetenderonline.com,0
h9kmvl1ot3qowo2zv8c74n1pd,1
csacgg.org,1
fotogeorghaemel,0
gnfpqmly.com,1
gwvptruck,1
zgduan,0
teammak.com,0
skipbronkie,0
losninoshospital.com,0
buxsbshaf,1
napgh.press,1
sako,0
wqjsepictom,1
doxonahofubahavode,1
zrqxay,1
qpofeuogknkk.com,1
ooskficjam,1
betawi777.com,0
rnvjjqmqqkyebmrk,1
iimc.nic.in,0
bcalnoor,0
oftqwsyhocyx,1
platformondernemendlewenborg,0
wintergreenrealestate.com,0
encoremm.com,0
travelfighter,0
a`bejlazdejo.bazaar,1
theroyalsandskohrong,0
saint-nails.ru,0
puvagovytokozufyfah,1
wvjeicwxpq,1
goodshoplife.com,0
nikaido-dc,0
romans-international,0
skeeeowugosaiacmyeg,1
attwoolls.co.uk,0
lfdebrvfxp,1
jdqufordlinnetavox.com,1
sumaq,0
gksadhockey,1
o8s6gpatg67bafwp547,1
twxitkpn,1
skwsiwaisswuoqisgomomse,1
vasavikumar,0
ydgqfqulovgkdrcrludc.com,1
hhvcancorml.com,1
ef3h5d70787ncrutotwxa2o,1
ynmetaequxiuxlimgiov.com,1
100liverpoolstreet.com,0
namelessjeff,0
benry.store,0
kkufklhbsab,1
declaiming,0
flfaanerraticallyqozaw,1
tyodonid.bazar,1
qetafulocunybyqivij,1
83948,0
xypgdlqsqfx,1
imagepersuadecowlivedeal.com,1
wfjfxioosf.com,1
m73.xyz,1
lce-dienstleistungen,0
anasheyoga,0
ffab.fr,0
rgvaiwfoktndsykap,1
linyehui.com,0
rdilrhnoq,1
thememetv.com,0
headudok.ru,1
matrixyouth.com,0
kwmwop,1
celqquqebvgk,1
skagen.com.uy,0
el4x4.com,0
ownwsemitismgavenuteq.com,1
ethereaapparel.com,0
suisse-romande.com,0
fjpcsemitismgavenuteq.com,1
bonchon.com,0
nppltt.ru,0
peter-timmer,0
arckc.com,0
1rwj127fe8spe6ijst14qd7,1
elguianocturno,0
soho-sports,0
decisionpt,0
ujkdobvutqwevh,1
saranac,0
6y3v2emvvf0u1vp4r1iul4ji7,1
icewarnqboijw,1
wseokscqiakggqiq.org,1
astralreflections,0
wnb.xyz,0
webadelaide.com,0
pinupcasinod78.com,0
gr-ruten.com.tw,0
kefyminucanoxome,1
passemeasure,0
supertechhues68gurgaon,0
flddqttoyglfbvnyehgz,1
ocuwguwkeugcqqoqegwcgkcqi,1
trgrscsrqsogivl,1
build2016,0
dandara.es,0
lsvtgnbvsowatcp,1
rifnyc,0
mammagallo,0
hervardi,0
1qkl1qb9g5u421d3wchnij5ug.com,1
ipsc.org,0
lexuz.mx,1
rosswehner,0
ceritaseksterbaru,0
ydogelem.bazar,1
fyhopukenywiyfii,1
lswlrjugfmyk.com,1
isophote,0
it-check38,0
pers.co.id,0
mozaazrza,1
consumer6online,0
nanomembranetoilet,0
uokqgmmgsmymgsywcsyyqs,1
135174,0
untickled,0
sxrkcig.biz,0
wiuavenezga.com,1
pgcompanyshop.de,0
caldisorientation,0
jc4nulyrmljdeo8m3112h229l,1
docutmbg1juxygi,1
megashareinfo,0
deardu.com,0
smhnrqqeqldusb,1
pbs.ac.th,0
ftstball,1
dvkprgroup,0
ydhudiv,1
qjlijcnkts,1
entertainmentxp,0
yalta,0
qgywiqsemyaiwqgq.org,1
enbdvktvrmuee.pl,1
businessesceo.com,0
lemontlocksmithservice,0
1e5ph50fqu8vk1nlfy6l1eqlare.com,1
everyhuman.com,0
oqwwinalcentricem,1
daggerford,0
centerlaw,0
kankou43yokkaichi,0
esoterik24.com,0
lyvyvirumor,1
eytrbikukplaqx,1
renjukorea,0
ageismore,0
1w26pk511isavrq8sharu9jsat.net,1
dullesmetro.com,0
odhiykncuvl,1
swimukraine,0
ez1dybavl6tb12cp3hv1fsy6w1,1
thesexcloud.com,0
sokwont,1
lepostegeneral,0
letmicro.com,0
lygutyropulyvix,1
123musiq.mobi,0
onelog-ops.io,0
modularspaces.com.au,0
skgianchandani,0
projectfielder.com,0
icarhyaixe,1
a6gfi8k8mji8epc4w0gxkl5,1
culturebot.org,0
nfztxsucmvyhtwjfpjxclvbexz,1
15dlq81stcjsadssyvn1k4z3bv.org,1
xctcf.com,0
admiral-officialclub.fun,0
nmhqylucpppm,1
emanuele,0
166slottica.com,0
iaidg610w2475bsub67i73hab.net,1
playthegate,0
smdp.com,0
ocqwueuukueooymwuekuesiegis,1
p2191834103ab23db6a613e1f172018a04.ws,1
raheawan.ru,1
budapesthotelreview,0
fwb.hk,1
henryschein.fr,0
cjihkkfmvqvr.com,1
xdracar,1
tinalaceyrecruitment,0
justalert,0
mdipydcj1xcna4ofcp3ryda,1
rwcj83xc6ory1er6op7tfdbxv,1
pioneerwomanmuseum,0
cjfglybyk,1
zoujajttrwxn,1
jyxbrttdkgnr.com,1
tshmorfoqiq,1
uoftdda.com,1
vpgnrancisco,1
howtotalkaboutarthistory,0
wewereraisedbywolves,0
twigsandstemsfloral.com,0
dnews.co.kr,0
london1851,0
qyiwofnpkssdmqv,1
grusol,0
wssiqugccacmiuewmauimgqookse,1
noxybtfs,1
mis-tilled,0
787tmbw2kvc8g0s,1
2022-03-27,1
artsklad.ru,0
efchpqrkcquv.com,1
0ij.vg,1
ouobjj.com,1
iengage.org.il,0
gqkqwtjtkufunhkpfwuenb,1
jimmyawards,0
maurice-regnaut,0
haltbpaenxuohwn,1
migrate2mobile,0
olgakubrakphotography,0
naturalinstead.com,0
aumentar-masa-muscular,0
cdfd.org.in,0
finqu,0
fhhhdavsnb,1
param.ai,0
bnezbyplaywobb.com,1
lejdebaek.dk,0
parcdubocasse.fr,0
cirtsikathrinezad,1
vinakycucyqiwygut,1
matildasonpark,0
leesliquorlv,0
vfbhball,1
nsotwgwbqwqoqrufupfqibeslbljtb,1
hjc-sale.ru,0
4wm5qimsrj1jrj.com,1
aaqqyikeswmowwyaiaykkwgummgqkcs,1
exportportali.uz,0
jfytlkfyxkjw,1
ncleg.net,0
w21vyl76ov7de85,1
vrhpsaygrdktl.com,1
cdtybqgfvukkv,1
bpfnllaabettingk,1
yajikandfield,1
ydogtoek.bazar,1
betbet.com,0
creativia.mx,0
grecised,0
pufacopikimuzewuz,1
galufysydu,1
papmbqfalem,1
3la2wje65v38wjwbc878e6u,1
mywebdav.de,0
bullhorncreative,0
runsybil.com,0
m0otqdgjcnmdstabanor7fc,1
bayareaphotogroup,0
owmxnvnzaskibakggzeojdyf,1
